Time (min),Power (W),Mode,SoC (%),Time Remaining (min)
0,19.72196483367643,Performance,79.452167643509,146.0300748068584
1,20.233370111268037,Performance,78.89012958486265,141.3643905803623
2,5.1524441409357475,Idle,78.74700613650333,551.2033876294036
3,8.18817387082844,Idle,78.51955686231365,346.2178827215474
4,8.33088984097781,Idle,78.28814325561983,339.30397604579497
5,10.449071129096392,Moderate,77.9978912798116,269.7247556631418
6,7.773308507631482,Idle,77.7819660434885,361.22637913013807
7,5.068132438053497,Idle,77.6411845868759,552.5015006594878
8,5.820264052652609,Idle,77.47951058541332,480.23296191410117
9,13.027186479000957,Moderate,77.11764429432996,214.1108815453746
10,9.292146321828799,Idle,76.8595291187236,298.7722210178761
11,10.16460966661765,Moderate,76.57717885020645,272.2134089773435
12,9.867793459048873,Idle,76.30307347634398,279.37131538555224
13,23.48570920985622,Performance,75.65069266495908,116.96094082590406
14,5.88973549733087,Idle,75.48708890114433,462.40190873983016
15,8.591998900238943,Idle,75.24842226502659,316.2867258241411
16,5.912800910766185,Idle,75.0841777952831,458.1488946479564
17,20.80323211458878,Performance,74.50631023654452,129.9331943104468
18,18.564684089971035,Performance,73.99062456737866,144.48008678825775
19,7.906798269152699,Idle,73.77099128212443,336.88256532578424
20,8.578883532587732,Idle,73.53268896177475,309.56891722195905
21,23.07598148638027,Performance,72.89168947604198,114.71567543882315
22,8.829579344079836,Idle,72.64642338315087,297.1943191038824
23,23.698613208802662,Performance,71.98812857179526,110.3554549268735
24,18.002940841904696,Performance,71.48804688174233,143.95273813000225
25,10.851026594534186,Moderate,71.18662947633861,237.17292233336406
26,11.239147873225486,Moderate,70.87443092430458,228.0171673204193
27,15.770389563676924,Performance,70.43636454753577,161.78925085982962
28,11.51841208881642,Moderate,70.11640865617976,220.1439837504412
29,20.799895287552722,Performance,69.53863378708107,121.3559336105419
30,18.673872423772266,Performance,69.01991510864295,134.05847268979116
31,9.449673926428192,Idle,68.75742416624216,262.9420827910328
32,16.364278927018578,Performance,68.30286086271386,151.26039350856314
33,18.04372585493605,Performance,67.80164625563229,136.2746813394441
34,10.835930579848458,Moderate,67.50064818396983,225.25608181193223
35,23.415076326324012,Performance,66.85022939712749,103.78028671599932
36,8.344439289909605,Idle,66.61843941685224,288.40862455632544
37,21.07999551699227,Performance,66.03288398582467,113.76965507765293
38,16.60374195334338,Performance,65.57166893156514,143.17157121386188
39,12.96243790465258,Moderate,65.21160121199146,182.1092682487657
40,5.588124234391493,Idle,65.05637553881392,420.10834855523416
41,14.50671475504323,Moderate,64.65341124006272,161.44451441585693
42,10.941267242633455,Moderate,64.34948714998957,212.72881404202374
43,17.32016847819936,Performance,63.86837135892848,133.75051982406936
44,14.81455565392356,Moderate,63.456855924097276,155.2028574216789
45,12.16963217599645,Moderate,63.11881058587515,187.71699754191224
46,6.294260214167126,Idle,62.94397002437051,361.0078236004705
47,24.146479475813237,Performance,62.2732344833757,93.84320075094598
48,7.407573845852495,Idle,62.06746854321313,302.64111948836404
49,9.55566821082375,Idle,61.802033315134686,233.83282238961843
50,7.741323044216276,Idle,61.58699656390646,287.4021903797315
51,19.425501590993193,Performance,61.04739929748999,114.13511594102805
52,10.385198651300751,Moderate,60.75892155717608,211.61909834381225
53,20.93616274706503,Performance,60.17736148086872,104.47574383538705
54,10.68005470798945,Moderate,59.88069329453567,202.84399963706755
55,13.272943669608159,Moderate,59.51200041482434,162.41347904906198
56,11.997747467196884,Moderate,59.17872965184665,178.56952071972782
57,7.567815499059527,Idle,58.96851255465055,281.512448041477
58,8.646382927950206,Idle,58.728335251096375,245.5207535517614
59,13.945448329750516,Moderate,58.340961686381085,151.60646105074292
